"year","lea_code","lea_name","subgroup","subject","grade","enrollment_status","n_test_takers","baseline","target"
2014,117,"Eagle Academy PCS","All","Reading","all","full_year",57,0.379586472283185,0.534689854212389
2014,129,"KIPP DC PCS","All","Reading","all","full_year",1414,0.637837837837838,0.728378378378378
2014,129,"KIPP DC PCS","SPED","Reading","all","full_year",247,0.23489932885906,0.426174496644295
2014,146,"Thurgood Marshall Academy PCS","BL7","Reading","all","full_year",96,0.666666666666667,0.75
2014,149,"Two Rivers PCS","All","Reading","all","full_year",282,0.70353982300885,0.777654867256637
2014,155,"Achievement Preparatory Academy PCS","ECONOMY","Reading","all","full_year",343,0.572727272727273,0.679545454545455
2014,108,"Capital City PCS","LEP","Reading","all","full_year",163,0.4,0.55
2014,116,"E.L. Haynes PCS","HI7","Reading","all","full_year",223,0.457446808510638,0.593085106382979
2014,124,"Howard University Middle School of Math and Science","All","Reading","all","full_year",301,0.777777777777778,0.833333333333333
2014,133,"Maya Angelou PCS","SPED","Reading","all","full_year",50,0.0882352941176471,0.316176470588235
2014,146,"Thurgood Marshall Academy PCS","ECONOMY","Reading","all","full_year",63,0.633802816901408,0.725352112676056
2014,156,"Center City PCS","LEP","Reading","all","full_year",146,0.342342342342342,0.506756756756757
2014,126,"IDEA PCS","All","Reading","all","full_year",46,0.393103448275862,0.544827586206897
2014,132,"Mary McLeod Bethune  PCS","SPED","Reading","all","full_year",21,0.0815043953428706,0.311128296507153
2014,142,"School for Educational Evolution and Development (SEED) PCS","SPED","Reading","all","full_year",46,0.179844114372245,0.384883085779184
2014,170,"DC Scholars PCS","ECONOMY","Reading","all","full_year",57,0.473733015967548,0.517588597970252
2014,114,"D.C. Bilingual PCS","All","Reading","all","full_year",166,0.393162393162393,0.544871794871795
2014,120,"Friendship PCS","SPED","Reading","all","full_year",312,0.113445378151261,0.335084033613445
2014,151,"Washington Latin PCS","BL7","Reading","all","full_year",199,0.758793969849246,0.819095477386935
2014,168,"Basis DC PCS","All","Reading","all","full_year",454,0.772038331506879,0.810031942922399
2014,108,"Capital City PCS","BL7","Reading","all","full_year",193,0.591304347826087,0.693478260869565
2014,122,"Hospitality PCS","All","Reading","all","full_year",30,0.525,0.64375
2014,130,"Latin American Montessori Bilingual (LAMB) PCS","HI7","Reading","all","full_year",33,0.692307692307692,0.769230769230769
2014,137,"Options PCS","BL7","Reading","all","full_year",147,0.131034482758621,0.348275862068966
2014,143,"St. Coletta Special Education PCS","ECONOMY","Reading","all","full_year",75,0.932203389830508,0.949152542372881
2014,144,"Elsie Whitlow Stokes Community Freedom PCS","All","Reading","all","full_year",151,0.557575757575758,0.668181818181818
2014,158,"Excel Academy PCS","BL7","Reading","all","full_year",155,0.546403860664587,0.65980289549844
