school_year,lea_name,lea_code,school_name,school_code,elem_sec_classification,poverty_quartile,num_total_classes,num_hq_classes,num_nhq_classes
2013-2014,KIPP DC PCS,129,KIPP DC WILL ACADEMY PCS,121,SEC,3,23,22,1
2013-2014,KIPP DC PCS,129,KIPP DC AIM PCS ACADEMY PCS,116,SEC,4,23,23,0
2013-2014,KIPP DC PCS,129,KIPP DC DISCOVER ACADEMY PCS,1122,ELEM,3,13,9,4
2013-2014,KIPP DC PCS,129,KIPP DC GROW ACADEMY PCS,1129,ELEM,2,16,16,0
2013-2014,KIPP DC PCS,129,KIPP DC HEIGHTS ACADEMY PCS,3071,ELEM,3,2,2,0
2013-2014,KIPP DC PCS,129,KIPP DC LEAD ACADEMY PCS,190,ELEM,2,24,24,0
2013-2014,KIPP DC PCS,129,KIPP DC LEAP ACADEMY PCS,132,ELEM,3,8,7,1
2013-2014,KIPP DC PCS,129,KIPP DC PROMISE ACADEMY PCS,1121,ELEM,3,4,4,0
2013-2014,KIPP DC PCS,129,KIPP DC SPRING ACADEMY PCS,214,ELEM,3,31,29,2
2013-2014,LATIN AMERICAN MONTESSORI BILINGUAL (LAMB) PCS,130,LATIN AMERICAN MONTESSORI BILINGUAL (LAMB) PCS,193,ELEM,1,20,19,1
2013-2014,MARY MCLEOD BETHUNE PCS,132,MARY MCLEOD BETHUNE PCS SLOWE CAMPUS,135,ELEM,3,18,17,1
2013-2014,MAYA ANGELOU PCS,133,MAYA ANGELOU PCS-EVANS HIGH SCHOOL,101,SEC,4,45,45,0
2013-2014,MAYA ANGELOU PCS,133,MAYA ANGELOU PCS- EVANS MIDDLE SCHOOL,133,SEC,4,57,57,0
2013-2014,MERIDIAN PCS,135,MERIDIAN PCS,165,ELEM,2,4,4,0
2013-2014,OPTIONS PCS,137,OPTIONS PCS,169,SEC,4,25,21,4
2013-2014,PAUL PCS,138,PAUL PCS-INTERNATIONAL HIGH SCHOOL,222,SEC,2,38,33,5
2013-2014,PAUL PCS,138,PAUL PCS-MIDDLE SCHOOL,170,SEC,3,128,127,1
2013-2014,POTOMAC LIGHTHOUSE PCS,139,POTOMAC LIGHTHOUSE PCS,117,ELEM,3,1,0,1
2013-2014,SEED PCS OF WASHINGTON DC,142,SEED PCS OF WASHINGTON DC,174,SEC,3,39,24,15
2013-2014,ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS,144,ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS,159,ELEM,1,9,8,1
2013-2014,THURGOOD MARSHALL ACADEMY,146,THURGOOD MARSHALL ACADEMY,191,SEC,2,45,44,1
2013-2014,TREE OF LIFE PCS,147,TREE OF LIFE PCS,183,ELEM,3,11,9,2
2013-2014,TWO RIVERS PCS,149,TWO RIVERS PCS,198,ELEM,1,21,11,10
2013-2014,WASHINGTON LATIN PCS,151,WASHINGTON LATIN PCS - UPPER SCHOOL,1118,SEC,1,6,3,3
2013-2014,WASHINGTON LATIN PCS,151,WASHINGTON LATIN PCS - MIDDLE SCHOOL,125,SEC,1,3,0,3
2013-2014,WASHINGTON MATHEMATICS SCIENCE TECHNOLOGY PCHS,152,WASHINGTON MATH SCIENCE TECH PCS,178,SEC,4,25,23,2
2013-2014,WILLIAM E. DOAR JR. PCS,153,WILLIAM E. DOAR JR. PCS,210,ELEM,2,33,24,9
2013-2014,ACHIEVEMENT PREPARATORY ACADEMY PCS,155,ACHIEVEMENT PREPARATORY ACADEMY PCS-MIDDLE SCHOOL,1100,SEC,4,48,47,1
2013-2014,ACHIEVEMENT PREPARATORY ACADEMY PCS,155,ACHIEVEMENT PREPARATORY ACADEMY PCS-ELEMENTARY,217,ELEM,2,28,28,0
2013-2014,CENTER CITY PCS,156,CENTER CITY BRIGHTWOOD CAMPUS PCS,1103,ELEM,2,133,133,0
2013-2014,CENTER CITY PCS,156,CENTER CITY CAPITOL HILL CAMPUS PCS,1104,ELEM,2,16,16,0
2013-2014,CENTER CITY PCS,156,CENTER CITY PETWORTH CAMPUS PCS,1106,ELEM,1,209,209,0
2013-2014,CENTER CITY PCS,156,CENTER CITY SHAW CAMPUS PCS,1107,ELEM,3,152,152,0
2013-2014,CENTER CITY PCS,156,CENTER CITY TRINIDAD CAMPUS PCS,1108,ELEM,3,5,5,0
2013-2014,CENTER CITY PCS,156,CENTER CITY CONGRESS HEIGHTS CAMPUS PCS,1105,ELEM,4,66,66,0
2013-2014,EXCEL ACADEMY PCS,158,EXCEL ACADEMY PCS,1113,ELEM,3,72,72,0
2013-2014,IMAGINE SOUTHEAST PCS,159,IMAGINE SOUTHEAST PCS,1116,ELEM,4,69,69,0
2013-2014,WASHINGTON YU YING PCS,160,WASHINGTON YU YING PCS,1117,ELEM,1,144,144,0
2013-2014,NATIONAL COLLEGIATE PREPARATORY PCS,163,NATIONAL COLLEGIATE PREP PCS,1120,SEC,4,29,28,1
2013-2014,INSPIRED TEACHING DEMONSTRATION PCS,165,INSPIRED TEACHING DEMONSTRATION PCS,3064,ELEM,1,23,22,1
2013-2014,SHINING STARS MONTESSORI PCS,166,SHINING STARS MONTESSORI PCS,3066,ELEM,1,15,15,0
2013-2014,RICHARD WRIGHT PCS FOR JOURNALISM AND MEDIA ARTS,167,RICHARD WRIGHT PCS FOR JOURNALISM AND MEDIA ARTS,3067,SEC,4,20,16,4
2013-2014,BASIS DC PCS,168,BASIS DC PCS,3068,SEC,1,42,42,0
2013-2014,CREATIVE MINDS INTERNATIONAL PCS,169,CREATIVE MINDS INTERNATIONAL PCS,3069,ELEM,1,17,17,0
2013-2014,DC SCHOLARS PUBLIC CHARTER SCHOOL,170,DC SCHOLARS PCS,3070,ELEM,4,5,5,0
2013-2014,MUNDO VERDE BILINGUAL PCS,171,MUNDO VERDE BILINGUAL PCS,3065,ELEM,1,23,23,0
2013-2014,INGENUITY PREP PCS,173,INGENUITY PREP PCS,200,ELEM,4,22,19,3
2013-2014,SELA PCS,174,SELA PCS,197,ELEM,1,47,47,0
2013-2014,SOMERSET PCS,175,SOMERSET PREPARATORY ACADEMY PCS,187,SEC,3,15,15,0
2013-2014,DYRS,4002,MAYA ANGELOU ACADEMY AT NEW BEGINNINGS,860,SEC,4,15,13,2
