,Key,Month,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,ReportType,NSize,count
109-2013-14-All Students-Net Cumulative-External-March,109-2013-14-All Students-Net Cumulative-External,March,109,2013-14,All Students,Net Cumulative,-0.042895444,0.006424909,External,373,-16
109-2013-14-All Students-Entry-External-May,109-2013-14-All Students-Entry-External,May,109,2013-14,All Students,Entry,0.010723861,0.093222953,External,373,4
109-2013-14-All Students-Withdrawal-External-May,109-2013-14-All Students-Withdrawal-External,May,109,2013-14,All Students,Withdrawal,0.069705091,0.093284734,External,373,26
109-2013-14-All Students-Net Cumulative-External-May,109-2013-14-All Students-Net Cumulative-External,May,109,2013-14,All Students,Net Cumulative,-0.058981232,-6.1778E-05,External,373,-22
109-2013-14-All Students-Entry-External-November,109-2013-14-All Students-Entry-External,November,109,2013-14,All Students,Entry,0,0.033483658,External,373,0
109-2013-14-All Students-Withdrawal-External-November,109-2013-14-All Students-Withdrawal-External,November,109,2013-14,All Students,Withdrawal,0.026809651,0.018348057,External,373,10
109-2013-14-All Students-Net Cumulative-External-November,109-2013-14-All Students-Net Cumulative-External,November,109,2013-14,All Students,Net Cumulative,-0.026809651,0.015135603,External,373,-10
109-2013-14-All Students-Entry-External-October,109-2013-14-All Students-Entry-External,October,109,2013-14,All Students,Entry,0,0.02341385,External,373,0
109-2013-14-All Students-Withdrawal-External-October,109-2013-14-All Students-Withdrawal-External,October,109,2013-14,All Students,Withdrawal,0.013404826,0.007722246,External,373,5
109-2013-14-All Students-Net Cumulative-External-October,109-2013-14-All Students-Net Cumulative-External,October,109,2013-14,All Students,Net Cumulative,-0.013404826,0.015691604,External,373,-5
113-2013-14-All Students-Entry-External-April,113-2013-14-All Students-Entry-External,April,113,2013-14,All Students,Entry,0,0.047614966,External,559,0
113-2013-14-All Students-Withdrawal-External-April,113-2013-14-All Students-Withdrawal-External,April,113,2013-14,All Students,Withdrawal,0.021466905,0.052543607,External,559,12
113-2013-14-All Students-Net Cumulative-External-April,113-2013-14-All Students-Net Cumulative-External,April,113,2013-14,All Students,Net Cumulative,-0.021466905,-0.004928642,External,559,-12
113-2013-14-All Students-Entry-External-December,113-2013-14-All Students-Entry-External,December,113,2013-14,All Students,Entry,0,0.02346462,External,559,0
113-2013-14-All Students-Withdrawal-External-December,113-2013-14-All Students-Withdrawal-External,December,113,2013-14,All Students,Withdrawal,0.016100179,0.02577894,External,559,9
113-2013-14-All Students-Net Cumulative-External-December,113-2013-14-All Students-Net Cumulative-External,December,113,2013-14,All Students,Net Cumulative,-0.016100179,-0.002314319,External,559,-9
113-2013-14-All Students-Entry-External-February,113-2013-14-All Students-Entry-External,February,113,2013-14,All Students,Entry,0,0.0368791,External,559,0
