Key,School_Code,School_Year,Student_Group,Metric,SchoolScore,AverageScore,Month,ReportType,NSize,count
105-2013-14-All Students-Entry-External,105,2013-14,All Students,Entry,0.005033557,0.013221618,October,External,596,3
105-2013-14-All Students-Withdrawal-External,105,2013-14,All Students,Withdrawal,0.010067114,0.011743025,October,External,596,6
105-2013-14-All Students-Net Cumulative-External,105,2013-14,All Students,Net Cumulative,-0.005033557,0.001478593,October,External,596,-3
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.026515152,0.047614966,April,External,264,7
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.037878789,0.052543607,April,External,264,10
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,-0.011363637,-0.004928642,April,External,264,-3
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.022727273,0.02346462,December,External,264,6
106-2013-14-All Students-Withdrawal-External,106,2013-14,All Students,Withdrawal,0.022727273,0.02577894,December,External,264,6
106-2013-14-All Students-Net Cumulative-External,106,2013-14,All Students,Net Cumulative,0,-0.002314319,December,External,264,0
106-2013-14-All Students-Entry-External,106,2013-14,All Students,Entry,0.022727273,0.0368791,February,External,264,6
